Position,Appearances,Clean sheets,Goals conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Successful 50/50s,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Goals,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Shots,Shooting accuracy %,Big chances missed,Saves,Penalties saved,mod name,age,nationality,value_eur,overall,Season,Arial Saves,Duels %,Aerial battles %
Defender,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Tom Anderson,18,England,60000,50,2017-18,0.0,0.0,0.0
Midfielder,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Andreas Pereira,21,Brazil,14000000,77,2017-18,0.0,0.0,0.0
Midfielder,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Angel Gomes,16,England,800000,63,2017-18,0.0,0.0,0.0
Midfielder,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Vurnon Anita,28,Netherlands,1900000,71,2017-18,0.0,0.0,0.0
Forward,21,0.0,0.0,15.0,60,0.0,11.0,13.0,14.0,7.0,0.0,71.0,51.0,0.0,0.0,1,385,18.33,1.0,55.0,22,3.0,22.0,1,0,17,7.0,3,0.0,3.0,0.0,0.0,0.14,34.0,44,1.0,0.0,0.0,Michail Antonio,27,England,17500000,80,2017-18,0.0,46.8013468013468,43.87755102040816
Midfielder,18,0.0,0.0,36.0,72,0.0,8.0,12.0,20.0,9.0,0.0,83.0,14.0,0.0,0.0,1,353,19.61,0.0,8.0,25,1.0,3.0,3,0,21,1.0,2,0.0,1.0,1.0,1.0,0.11,18.0,39,1.0,0.0,0.0,Scott Arfield,28,Canada,4000000,73,2017-18,0.0,42.61363636363637,27.906976744186046
Forward,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Adam Armstrong,20,England,1700000,68,2017-18,0.0,0.0,0.0
Midfielder,13,0.0,0.0,19.0,84,0.0,6.0,9.0,5.0,0.0,0.0,66.0,4.0,0.0,0.0,0,586,45.08,0.0,5.0,0,1.0,37.0,4,0,9,0.0,1,0.0,0.0,1.0,0.0,0.08,11.0,9,0.0,0.0,0.0,Harry Arter,27,Republic of Ireland,10000000,77,2017-18,0.0,53.01204819277108,75.0
Midfielder,28,0.0,0.0,17.0,94,0.0,11.0,13.0,20.0,10.0,0.0,107.0,28.0,0.0,0.0,2,448,16.0,5.0,57.0,11,1.0,8.0,1,0,10,6.0,2,0.0,0.0,2.0,0.0,0.07,35.0,34,3.0,0.0,0.0,Christian Atsu,25,Ghana,8500000,75,2017-18,0.0,33.734939759036145,16.049382716049383
Forward,13,0.0,0.0,5.0,0,0.0,7.0,3.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,4,317,24.38,1.0,16.0,0,0.0,0.0,0,0,1,10.0,10,0.0,7.0,3.0,0.0,0.77,31.0,61,6.0,0.0,0.0,Pierre-Emerick Aubameyang,28,Gabon,61000000,88,2017-18,0.0,0.0,0.0
Defender,17,6.0,12.0,48.0,56,1.0,3.0,31.0,48.0,33.0,0.0,89.0,15.0,0.0,0.0,2,776,45.65,5.0,68.0,9,1.0,26.0,1,1,21,2.0,2,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Serge Aurier,24,Ivory Coast,19000000,81,2017-18,0.0,58.25688073394495,62.33766233766234
