Position,Appearances,Clean sheets,Goals conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Goals,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,mod name,age,nationality,value_eur,overall,Season
Midfielder,2,,,0.0,0%,,1.0,0.0,1.0,1.0,,3.0,8.0,8.0,5.0,2.0,2.0,,0.0,0,50,25.0,0.0,2.0,50%,0.0,1.0,0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,50%,1.0,,,,,,,,,Ross Barkley,23,England,24000000,81,2017-18
Midfielder,0,,,0.0,0%,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0.0,,,,,,,,,Daniel Barlaser,20,Turkey,550000,61,2017-18
Forward,36,,,21.0,,,9.0,2.0,18.0,12.0,,,,,,,,,,0,510,14.17,2.0,16.0,,,,10,0,53,26.0,9,1.0,7.0,1.0,0.0,0.25,0.0,0.0,60.0,22.0,37%,3.0,,,,,,,,,Ashley Barnes,27,Austria,6000000,74,2017-18
Forward,0,,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,0,0,0.0,0.0,0.0,,,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0.0,,,,,,,,,Modou Barrow,24,Gambia,4100000,72,2017-18
Midfielder,25,,,35.0,54%,,5.0,14.0,32.0,22.0,,148.0,106.0,112.0,10.0,32.0,36.0,,0.0,1,927,37.08,2.0,28.0,32%,3.0,64.0,4,0,28,1.0,1,0.0,0.0,1.0,0.0,0.04,0.0,0.0,16.0,6.0,38%,0.0,,,,,,,,,Gareth Barry,36,England,1700000,79,2017-18
Defender,5,0.0,4.0,3.0,67%,0.0,0.0,4.0,21.0,12.0,0.0,3.0,18.0,9.0,0.0,14.0,4.0,0.0,0.0,0,115,23.0,0.0,0.0,0%,0.0,7.0,2,0,5,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,Kyle Bartley,26,England,4000000,73,2017-18
Defender,15,4.0,18.0,24.0,71%,0.0,2.0,12.0,40.0,15.0,0.0,54.0,74.0,74.0,12.0,19.0,22.0,0.0,0.0,0,286,19.07,1.0,39.0,26%,0.0,23.0,4,0,19,1.0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,Moritz Bauer,25,Austria,1900000,70,2017-18
Defender,5,1.0,5.0,6.0,50%,0.0,0.0,5.0,27.0,19.0,0.0,28.0,14.0,24.0,0.0,7.0,17.0,0.0,0.0,0,181,36.2,0.0,0.0,0%,0.0,8.0,1,0,3,0.0,1,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,Jan Bednarek,21,Poland,1400000,68,2017-18
Midfielder,0,,,0.0,0%,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0.0,,,,,,,,,Valon Behrami,32,Switzerland,5000000,77,2017-18
Midfielder,0,,,0.0,0%,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0.0,,,,,,,,,Yasin El-Mhanni,21,England,140000,56,2017-18
Defender,1,0.0,2.0,7.0,43%,0.0,0.0,1.0,4.0,0.0,0.0,5.0,10.0,5.0,0.0,2.0,2.0,0.0,0.0,0,27,27.0,0.0,3.0,0%,0.0,2.0,0,0,1,1.0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,Yohan Benalouane,30,Tunisia,4900000,75,2017-18
Forward,15,,,2.0,,,2.0,1.0,2.0,0.0,,,,,,,,,,1,95,6.33,1.0,4.0,,,,0,0,6,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,40%,3.0,,,,,,,,,Saido Berahino,23,England,10500000,76,2017-18
Forward,0,,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,0,0,0.0,0.0,0.0,,,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0.0,,,,,,,,,Steven Berghuis,25,Netherlands,9500000,76,2017-18
