Position,Appearances,Clean sheets,Goals conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Goals,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,mod name,age,nationality,value_eur,overall,Season
Goalkeeper,0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0,0,0.0,,,,,0.0,0,0,0,,0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Luca Ashby-Hammond,17,England,150000,56,2018-19
Midfielder,28,,,24.0,63%,,4.0,7.0,14.0,3.0,,86.0,84.0,140.0,25.0,10.0,59.0,,0.0,0,383,13.68,3.0,42.0,19%,3.0,10.0,2,0,13,4.0,1,0.0,0.0,1.0,0.0,0.04,0.0,0.0,28.0,14.0,50%,1.0,,,,,,,,,Christian Atsu,26,Ghana,8000000,75,2018-19
Forward,36,,,21.0,,,22.0,8.0,18.0,6.0,,,,,,,,,,5,692,19.22,8.0,43.0,,,,0,0,13,23.0,22,0.0,20.0,2.0,4.0,0.61,4.0,0.0,94.0,40.0,43%,23.0,,,,,,,,,Pierre-Emerick Aubameyang,29,Gabon,50500000,87,2018-19
Defender,8,0.0,9.0,21.0,62%,0.0,1.0,7.0,17.0,12.0,0.0,31.0,43.0,50.0,8.0,12.0,15.0,0.0,0.0,2,269,33.63,2.0,24.0,29%,0.0,5.0,1,0,17,1.0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,Serge Aurier,25,Ivory Coast,18500000,81,2018-19
Forward,25,,,13.0,,,11.0,2.0,13.0,10.0,,,,,,,,,,2,197,7.88,1.0,0.0,,,,1,0,14,9.0,2,1.0,1.0,0.0,0.0,0.08,0.0,0.0,32.0,9.0,28%,5.0,,,,,,,,,Charlie Austin,28,England,9000000,77,2018-19
Forward,0,,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,0,0,0.0,0.0,0.0,,,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0.0,,,,,,,,,Taiwo Awoniyi,20,Nigeria,1700000,69,2018-19
Forward,20,,,38.0,,,10.0,7.0,5.0,2.0,,,,,,,,,,2,265,13.25,1.0,15.0,,,,3,0,31,9.0,1,0.0,0.0,1.0,0.0,0.05,0.0,0.0,27.0,3.0,11%,1.0,,,,,,,,,Jordan Ayew,26,Ghana,10500000,77,2018-19
Forward,16,,,4.0,,,2.0,7.0,3.0,2.0,,,,,,,,,,0,192,12.0,1.0,6.0,,,,0,0,6,4.0,1,0.0,0.0,1.0,0.0,0.06,0.0,0.0,7.0,1.0,14%,0.0,,,,,,,,,Floyd Ayité,29,Togo,1700000,70,2018-19
Midfielder,16,,,8.0,50%,,10.0,6.0,10.0,7.0,,48.0,66.0,71.0,27.0,15.0,19.0,,0.0,3,469,29.31,4.0,38.0,29%,3.0,11.0,3,0,14,9.0,5,0.0,4.0,1.0,2.0,0.31,0.0,0.0,27.0,9.0,33%,7.0,,,,,,,,,Ryan Babel,31,Netherlands,11000000,79,2018-19
Goalkeeper,0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0,0,0.0,,,,,0.0,0,0,0,,0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Daniel Bachmann,23,Austria,325000,62,2018-19
